Laps,Time,Distance
1,20:34,3.42
2,1:00,0.23
3,1:00,0.12
4,1:00,0.24
5,1:00,0.11
6,1:00,0.24
7,1:00,0.11
8,1:00,0.24
9,1:00,0.11
10,1:00,0.25
11,1:00,0.11
12,1:00,0.24
13,1:00,0.12
14,1:00,0.24
15,1:00,0.11
16,1:00,0.24
17,1:00,0.12
18,1:00,0.24
19,1:00,0.12
20,1:00,0.25
21,1:00,0.11
22,1:00,0.24
23,1:00,0.12
24,1:00,0.25
25,1:00,0.12
26,1:00,0.24
27,1:00,0.11
28,1:00,0.24
29,1:00,0.12
30,1:00,0.25
31,1:00,0.11
32,1:00,0.24
33,1:00,0.11
34,1:00,0.25
35,1:00,0.12
36,1:00,0.25
37,03:02.1,0.35
38,10:02,2.15
39,21:28,3.67
